,STOP_NAME,HOUR,LAT,LONG,PCT_CHECKINS_mean
6856,PLACE DE CLICHY,2018-01-01 16:00:00,48.8834300138,2.32722833572,6.335
6857,PLACE DE CLICHY,2018-01-01 05:00:00,48.8834300138,2.32722833572,0.46
6858,PLACE DE CLICHY,2018-01-01 07:00:00,48.8834300138,2.32722833572,4.17
6859,PLACE DE CLICHY,2018-01-01 09:00:00,48.8834300138,2.32722833572,8.64
6875,BERAULT,2018-01-01 00:00:00,48.8454707076,2.42920516635,0.3
6876,BERAULT,2018-01-01 10:00:00,48.8454707076,2.42920516635,3.725
6877,BERAULT,2018-01-01 11:00:00,48.8454707076,2.42920516635,3.415
6878,BERAULT,2018-01-01 16:00:00,48.8454707076,2.42920516635,6.44
6879,BERAULT,2018-01-01 23:00:00,48.8454707076,2.42920516635,0.77
6880,BERAULT,2018-01-01 02:00:00,48.8454707076,2.42920516635,0.005
6881,BERAULT,2018-01-01 08:00:00,48.8454707076,2.42920516635,19.555
6899,PLACE DES FETES,2018-01-01 13:00:00,48.8768063892,2.3930560933200002,5.43
6900,PLACE DES FETES,2018-01-01 14:00:00,48.8768063892,2.3930560933200002,4.6
6901,PLACE DES FETES,2018-01-01 17:00:00,48.8768063892,2.3930560933200002,7.425000000000002
6902,PLACE DES FETES,2018-01-01 19:00:00,48.8768063892,2.3930560933200002,4.1549999999999985
6903,PLACE DES FETES,2018-01-01 04:00:00,48.8768063892,2.3930560933200002,0.005
6904,PLACE DES FETES,2018-01-01 09:00:00,48.8768063892,2.3930560933200002,10.495
6916,GAITE,2018-01-01 00:00:00,48.8386316471,2.32249174845,1.315
6917,GAITE,2018-01-01 18:00:00,48.8386316471,2.32249174845,10.025
6918,GAITE,2018-01-01 21:00:00,48.8386316471,2.32249174845,2.81
6919,GAITE,2018-01-01 05:00:00,48.8386316471,2.32249174845,0.31
6936,ASSEMBLEE NATIONALE,2018-01-01 10:00:00,48.8607869626,2.32099819197,1.9
6937,ASSEMBLEE NATIONALE,2018-01-01 14:00:00,48.8607869626,2.32099819197,3.845
6938,ASSEMBLEE NATIONALE,2018-01-01 19:00:00,48.8607869626,2.32099819197,12.27
6939,ASSEMBLEE NATIONALE,2018-01-01 06:00:00,48.8607869626,2.32099819197,0.355
6956,GALLIENI (PARC DE BAGNOLET),2018-01-01 11:00:00,48.865335317299994,2.41669727286,4.22
6957,GALLIENI (PARC DE BAGNOLET),2018-01-01 07:00:00,48.865335317299994,2.41669727286,8.285
6975,GAMBETTA,2018-01-01 00:00:00,48.8649166851,2.39898444025,0.5900000000000001
6976,GAMBETTA,2018-01-01 14:00:00,48.8649166851,2.39898444025,4.49
6977,GAMBETTA,2018-01-01 09:00:00,48.8649166851,2.39898444025,11.335
7004,AUSTERLITZ,2018-01-01 13:00:00,48.8423600825,2.36558170411,3.615
7005,AUSTERLITZ,2018-01-01 14:00:00,48.8423600825,2.36558170411,3.375
7006,AUSTERLITZ,2018-01-01 16:00:00,48.8423600825,2.36558170411,4.945
7007,AUSTERLITZ,2018-01-01 19:00:00,48.8423600825,2.36558170411,6.045
7008,AUSTERLITZ,2018-01-01 01:00:00,48.8423600825,2.36558170411,0.15000000000000002
7009,AUSTERLITZ,2018-01-01 21:00:00,48.8423600825,2.36558170411,1.67
7027,SAINT-FARGEAU,2018-01-01 00:00:00,48.8721014421,2.40451494238,0.195
7028,SAINT-FARGEAU,2018-01-01 11:00:00,48.8721014421,2.40451494238,4.369999999999999
7029,SAINT-FARGEAU,2018-01-01 12:00:00,48.8721014421,2.40451494238,4.26
7030,SAINT-FARGEAU,2018-01-01 15:00:00,48.8721014421,2.40451494238,4.105
7031,SAINT-FARGEAU,2018-01-01 18:00:00,48.8721014421,2.40451494238,5.5150000000000015
7052,SAINT-FRANCOIS-XAVIER,2018-01-01 19:00:00,48.8514417092,2.31440812145,8.735
7053,SAINT-FRANCOIS-XAVIER,2018-01-01 07:00:00,48.8514417092,2.31440812145,2.655
7070,SAINT-GEORGES,2018-01-01 11:00:00,48.8784252594,2.33759508007,3.405
7071,SAINT-GEORGES,2018-01-01 16:00:00,48.8784252594,2.33759508007,7.2
7072,SAINT-GEORGES,2018-01-01 20:00:00,48.8784252594,2.33759508007,4.08
7073,SAINT-GEORGES,2018-01-01 07:00:00,48.8784252594,2.33759508007,4.074999999999998
7098,PLACE D'ITALIE,2018-01-01 00:00:00,48.8309953013,2.3558348979700003,0.8049999999999999
7099,PLACE D'ITALIE,2018-01-01 15:00:00,48.8309953013,2.3558348979700003,5.84
7100,PLACE D'ITALIE,2018-01-01 19:00:00,48.8309953013,2.3558348979700003,7.795
7101,PLACE D'ITALIE,2018-01-01 20:00:00,48.8309953013,2.3558348979700003,5.025
7102,PLACE D'ITALIE,2018-01-01 04:00:00,48.8309953013,2.3558348979700003,0.015
7103,PLACE D'ITALIE,2018-01-01 07:00:00,48.8309953013,2.3558348979700003,3.92
7104,PLACE D'ITALIE,2018-01-01 08:00:00,48.8309953013,2.3558348979700003,9.785
7126,PLACE MONGE (JARDIN DES PLANTES),2018-01-01 00:00:00,48.8428668307,2.35222472818,2.3200000000000003
7127,PLACE MONGE (JARDIN DES PLANTES),2018-01-01 11:00:00,48.8428668307,2.35222472818,3.23
7128,PLACE MONGE (JARDIN DES PLANTES),2018-01-01 14:00:00,48.8428668307,2.35222472818,5.885
7129,PLACE MONGE (JARDIN DES PLANTES),2018-01-01 06:00:00,48.8428668307,2.35222472818,0.69
7130,PLACE MONGE (JARDIN DES PLANTES),2018-01-01 07:00:00,48.8428668307,2.35222472818,3.17
7131,PLACE MONGE (JARDIN DES PLANTES),2018-01-01 08:00:00,48.8428668307,2.35222472818,8.995000000000003
7132,PLACE MONGE (JARDIN DES PLANTES),2018-01-01 09:00:00,48.8428668307,2.35222472818,6.45
7144,PLAISANCE,2018-01-01 00:00:00,48.8318256496,2.31412232347,0.39
7145,PLAISANCE,2018-01-01 11:00:00,48.8318256496,2.31412232347,3.63
7146,PLAISANCE,2018-01-01 13:00:00,48.8318256496,2.31412232347,4.699999999999998
7147,PLAISANCE,2018-01-01 15:00:00,48.8318256496,2.31412232347,4.62
7148,PLAISANCE,2018-01-01 20:00:00,48.8318256496,2.31412232347,3.835
7149,PLAISANCE,2018-01-01 23:00:00,48.8318256496,2.31412232347,0.8999999999999999
7150,PLAISANCE,2018-01-01 05:00:00,48.8318256496,2.31412232347,1.005
7151,PLAISANCE,2018-01-01 07:00:00,48.8318256496,2.31412232347,7.775
7152,PLAISANCE,2018-01-01 08:00:00,48.8318256496,2.31412232347,15.855
7167,POISSONNIERE,2018-01-01 22:00:00,48.8772363191,2.34929390111,1.815
7168,POISSONNIERE,2018-01-01 02:00:00,48.8772363191,2.34929390111,0.0
7169,POISSONNIERE,2018-01-01 04:00:00,48.8772363191,2.34929390111,0.0
7170,POISSONNIERE,2018-01-01 07:00:00,48.8772363191,2.34929390111,3.665
7171,POISSONNIERE,2018-01-01 09:00:00,48.8772363191,2.34929390111,7.275
7184,BERCY,2018-01-01 07:00:00,48.8403020934,2.3791217764400003,7.46
7185,AUSTERLITZ,2018-01-01 03:00:00,48.8423600825,2.36558170411,0.0
7205,GARE DE L'EST,2018-01-01 14:00:00,48.8773756199,2.35945661694,3.38
7206,GARE DE L'EST,2018-01-01 17:00:00,48.8773756199,2.35945661694,6.08
7207,GARE DE L'EST,2018-01-01 19:00:00,48.8773756199,2.35945661694,4.9350000000000005
7208,GARE DE L'EST,2018-01-01 02:00:00,48.8773756199,2.35945661694,0.025
7209,GARE DE L'EST,2018-01-01 03:00:00,48.8773756199,2.35945661694,0.005
7210,GARE DE L'EST,2018-01-01 04:00:00,48.8773756199,2.35945661694,0.01
7211,GARE DE L'EST,2018-01-01 05:00:00,48.8773756199,2.35945661694,0.945
7212,GARE DE L'EST,2018-01-01 07:00:00,48.8773756199,2.35945661694,13.525
7237,GARE DE LYON,2018-01-01 10:00:00,48.8441393499,2.37325997807,3.88
7238,GARE DE LYON,2018-01-01 12:00:00,48.8441393499,2.37325997807,4.8900000000000015
7239,GARE DE LYON,2018-01-01 16:00:00,48.8441393499,2.37325997807,5.805
7240,GARE DE LYON,2018-01-01 18:00:00,48.8441393499,2.37325997807,9.635
7241,GARE DE LYON,2018-01-01 21:00:00,48.8441393499,2.37325997807,2.775
7242,GARE DE LYON,2018-01-01 22:00:00,48.8441393499,2.37325997807,2.515
7259,GARE DU NORD,2018-01-01 00:00:00,48.8809220076,2.35632854366,0.585
7260,GARE DU NORD,2018-01-01 19:00:00,48.8809220076,2.35632854366,6.155
7261,GARE DU NORD,2018-01-01 02:00:00,48.8809220076,2.35632854366,0.01
7262,GARE DU NORD,2018-01-01 04:00:00,48.8809220076,2.35632854366,0.01
7263,GARE DU NORD,2018-01-01 05:00:00,48.8809220076,2.35632854366,0.575
7281,GARIBALDI,2018-01-01 12:00:00,48.906094050200004,2.3318308379599997,4.195
7282,GARIBALDI,2018-01-01 16:00:00,48.906094050200004,2.3318308379599997,6.44
7283,GARIBALDI,2018-01-01 20:00:00,48.906094050200004,2.3318308379599997,3.295
7284,GARIBALDI,2018-01-01 03:00:00,48.906094050200004,2.3318308379599997,0.0
7308,PONT DE LEVALLOIS-BECON,2018-01-01 17:00:00,48.8978210671,2.2798095866900003,14.815
7309,PONT DE LEVALLOIS-BECON,2018-01-01 03:00:00,48.8978210671,2.2798095866900003,0.0
7310,PONT DE LEVALLOIS-BECON,2018-01-01 06:00:00,48.8978210671,2.2798095866900003,0.78
7311,PONT DE LEVALLOIS-BECON,2018-01-01 08:00:00,48.8978210671,2.2798095866900003,10.57
7332,PONT DE NEUILLY (AVENUE DE MADRID),2018-01-01 15:00:00,48.8847082013,2.26051507789,4.42
7333,PONT DE NEUILLY (AVENUE DE MADRID),2018-01-01 16:00:00,48.8847082013,2.26051507789,6.865
7334,PONT DE NEUILLY (AVENUE DE MADRID),2018-01-01 17:00:00,48.8847082013,2.26051507789,11.055
7335,PONT DE NEUILLY (AVENUE DE MADRID),2018-01-01 20:00:00,48.8847082013,2.26051507789,4.4049999999999985
7336,PONT DE NEUILLY (AVENUE DE MADRID),2018-01-01 21:00:00,48.8847082013,2.26051507789,1.92
7337,PONT DE NEUILLY (AVENUE DE MADRID),2018-01-01 02:00:00,48.8847082013,2.26051507789,0.01
7338,PONT DE NEUILLY (AVENUE DE MADRID),2018-01-01 09:00:00,48.8847082013,2.26051507789,8.114999999999998
7360,PONT DE SEVRES,2018-01-01 00:00:00,48.8296748438,2.23079959132,0.29000000000000004
7361,PONT DE SEVRES,2018-01-01 12:00:00,48.8296748438,2.23079959132,3.67
7362,PONT DE SEVRES,2018-01-01 13:00:00,48.8296748438,2.23079959132,3.3200000000000003
7363,PONT DE SEVRES,2018-01-01 19:00:00,48.8296748438,2.23079959132,8.695
7364,PONT DE SEVRES,2018-01-01 23:00:00,48.8296748438,2.23079959132,0.925
7365,PONT DE SEVRES,2018-01-01 02:00:00,48.8296748438,2.23079959132,0.015
7366,PONT DE SEVRES,2018-01-01 06:00:00,48.8296748438,2.23079959132,1.84
7367,PONT DE SEVRES,2018-01-01 09:00:00,48.8296748438,2.23079959132,8.14
7387,PONT-MARIE (CITE DES ARTS),2018-01-01 17:00:00,48.8535754734,2.3571625688799998,10.055
7388,PONT-MARIE (CITE DES ARTS),2018-01-01 23:00:00,48.8535754734,2.3571625688799998,3.735
7389,PONT-MARIE (CITE DES ARTS),2018-01-01 02:00:00,48.8535754734,2.3571625688799998,0.0
7398,GARIBALDI,2018-01-01 04:00:00,48.906094050200004,2.3318308379599997,0.0
7399,GARIBALDI,2018-01-01 05:00:00,48.906094050200004,2.3318308379599997,1.205
7400,GARIBALDI,2018-01-01 07:00:00,48.906094050200004,2.3318308379599997,9.07
7418,GEORGE V,2018-01-01 19:00:00,48.8720238095,2.30056045125,12.485
7419,GEORGE V,2018-01-01 20:00:00,48.8720238095,2.30056045125,7.035
7420,GEORGE V,2018-01-01 21:00:00,48.8720238095,2.30056045125,3.5700000000000003
7421,GEORGE V,2018-01-01 02:00:00,48.8720238095,2.30056045125,0.005
7422,GEORGE V,2018-01-01 07:00:00,48.8720238095,2.30056045125,1.23
7445,GLACIERE,2018-01-01 10:00:00,48.831129548,2.34351165775,3.53
7446,GLACIERE,2018-01-01 14:00:00,48.831129548,2.34351165775,4.41
7447,GLACIERE,2018-01-01 17:00:00,48.831129548,2.34351165775,11.08
7448,GLACIERE,2018-01-01 06:00:00,48.831129548,2.34351165775,1.265
7449,GLACIERE,2018-01-01 07:00:00,48.831129548,2.34351165775,5.51
7482,GONCOURT (HOPITAL SAINT-LOUIS),2018-01-01 00:00:00,48.869957512700005,2.37109483973,0.975
7483,GONCOURT (HOPITAL SAINT-LOUIS),2018-01-01 11:00:00,48.869957512700005,2.37109483973,4.0299999999999985
7484,GONCOURT (HOPITAL SAINT-LOUIS),2018-01-01 14:00:00,48.869957512700005,2.37109483973,4.75
7485,GONCOURT (HOPITAL SAINT-LOUIS),2018-01-01 02:00:00,48.869957512700005,2.37109483973,0.015
7486,GONCOURT (HOPITAL SAINT-LOUIS),2018-01-01 04:00:00,48.869957512700005,2.37109483973,0.005
7506,PONT-NEUF (LA MONNAIE),2018-01-01 12:00:00,48.85855382729999,2.34223275799,4.805
7507,PONT-NEUF (LA MONNAIE),2018-01-01 19:00:00,48.85855382729999,2.34223275799,9.9
7508,PONT-NEUF (LA MONNAIE),2018-01-01 05:00:00,48.85855382729999,2.34223275799,0.225
7513,RAMBUTEAU,2018-01-01 15:00:00,48.861204990299996,2.3534957401299996,6.115
7514,RAMBUTEAU,2018-01-01 19:00:00,48.861204990299996,2.3534957401299996,10.81
7515,RAMBUTEAU,2018-01-01 21:00:00,48.861204990299996,2.3534957401299996,5.715
7516,RAMBUTEAU,2018-01-01 03:00:00,48.861204990299996,2.3534957401299996,0.0
7517,RAMBUTEAU,2018-01-01 06:00:00,48.861204990299996,2.3534957401299996,0.4
7537,RANELAGH,2018-01-01 18:00:00,48.8554850495,2.27010913895,8.735
7538,RANELAGH,2018-01-01 07:00:00,48.8554850495,2.27010913895,6.51
